"name","icc","icc_low","icc_up","icc_panel","icc_panel_low","icc_panel_up"
"log_stat_iqr",0.990559995414292,0.988736473936363,0.992213638896942,0.999523728566423,0.999430732333681,0.999607780681665
"log_stat_range",0.893489164015141,0.875158510440376,0.910691340764841,0.994074928052698,0.992918005065132,0.995120581423908
"log_stat_mad",0.962624097200331,0.955633714745711,0.969026084490699,0.998062406519711,0.997684074162258,0.998404351929441
"log_stat_rmad",0.985687853152334,0.982938574650793,0.988185303315041,0.999274528759232,0.999132874048077,0.999402559516558
"log_stat_medad",0.964819367672153,0.958222669567416,0.97085612879725,0.998180145948133,0.9978248032611,0.998501312769628
"log_stat_cov",0.178201357584285,0.147667675485451,0.215087423357038,0.812623966159129,0.776037129273851,0.845691983427482
"log_stat_qcod",0.0448877154675913,0.0302106097386604,0.0634807607102126,0.484521828131096,0.383870131083728,0.575493126537894
"log_stat_energy",0.879418191141159,0.859026731362581,0.898649478728199,0.993190909760143,0.991861374339651,0.994392574183378
"log_stat_rms",0.963853363268223,0.95708317069125,0.970051005090213,0.998128398674865,0.997762951872553,0.998458697826098
"log_ivh_v10",0.644903192852643,0.601796647630848,0.689058937409097,0.973206632278551,0.967974988965701,0.977935110773526
"log_ivh_v25",0.884676055495514,0.865045003858925,0.903155910052119,0.993524344551704,0.992259915239397,0.994667164590098
"log_ivh_v50",0.923327893412227,0.909642086021721,0.93603672800274,0.995865223766742,0.995057871937896,0.996594926755323
"log_ivh_v75",0.884984658133149,0.865398594652246,0.903420156733815,0.993543798831308,0.992283168140096,0.994683185589358
"log_ivh_v90",0.541358655740487,0.494786458074278,0.590837383520354,0.959361254261012,0.951426177767519,0.966533157296393
"log_ivh_i10",0.95739012807072,0.949469562148276,0.964657414768063,0.997779627088408,0.997346079532321,0.998171477253435
"log_ivh_i25",0.963565697236429,0.956743918197864,0.969811196948196,0.998112969865955,0.9977445104515,0.998445991884723
"log_ivh_i50",0.963804263731364,0.957025263706494,0.970010075701309,0.998125765866382,0.997759804984802,0.998456529654178
"log_ivh_i75",0.956218661355713,0.948091527897202,0.963678561498718,0.997715933555623,0.997269949270853,0.998119024319561
"log_ivh_i90",0.932483192429338,0.920298129086467,0.943761930419851,0.996392789661489,0.995688449765075,0.997029388117116
"log_ivh_diff_v10_v90",0.553608565334371,0.507248376174438,0.602649800380733,0.961245908479273,0.95367882748155,0.96808520879617
"log_ivh_diff_v25_v75",0.879301350290591,0.858893123052863,0.898549244204631,0.993183457401579,0.991852466841806,0.99438643701287
